Glycan_ID	Glycan_Structure
G_32	{(b1-4)Man[{(a1-6)Man{(b1-2)GlcNAc{(b1-4)Gal{(a2-3)NeuAc}}}}]{(a1-3)Man{(b1-2)GlcNAc{(b1-4)Gal{(b1-3)GlcNAc{(b1-4)Gal{(a1-3)IdoA}}}}}}}
G_33	{(b1-4)Man[{(a1-6)Man{(b1-2)GlcNAc{(b1-4)Gal{(a2-6)NeuAc}}}}]{(a1-3)Man{(b1-2)GlcNAc{(b1-4)Gal{(b1-3)GlcNAc{(b1-4)Gal{(a1-3)IdoA}}}}}}}
G_34	{(b1-4)Man[{(a1-6)Man{(b1-2)GlcNAc{(b1-4)Gal{(a2-3)NeuAc}}}}]{(a1-3)Man{(b1-2)GlcNAc{(b1-4)Gal{(b1-3)GlcNAc{(b1-4)Gal{(b1-3)GlcA}}}}}}}
G_35	{(b1-4)Man[{(a1-6)Man{(b1-2)GlcNAc{(b1-4)Gal{(a2-6)NeuAc}}}}]{(a1-3)Man{(b1-2)GlcNAc{(b1-4)Gal{(b1-3)GlcNAc{(b1-4)Gal{(b1-3)GlcA}}}}}}}
G_36	{(b1-4)Man[{(a1-6)Man{(b1-2)GlcNAc{(b1-4)Gal{(a2-3)NeuAc}}}}]{(a1-3)Man{(b1-2)GlcNAc{(b1-4)Gal{(b1-3)GlcNAc{(b1-4)Gal}}}}}}
G_37	{(b1-4)Man[{(a1-6)Man{(b1-2)GlcNAc{(b1-4)Gal{(a2-3)NeuAc}}}}]{(a1-3)Man{(b1-2)GlcNAc{(b1-4)Gal{(b1-3)GlcNAc{(b1-4)Gal{(a2-3)NeuAc}}}}}}}
G_38	{(b1-4)Man[{(a1-6)Man{(b1-2)GlcNAc{(b1-4)Gal{(a2-3)NeuAc}}}}]{(a1-3)Man{(b1-2)GlcNAc{(b1-4)Gal{(b1-3)GlcNAc{(b1-4)Gal{(a2-6)NeuAc}}}}}}}
G_39	{(b1-4)Man[{(a1-6)Man{(b1-2)GlcNAc{(b1-4)Gal}}}]{(a1-3)Man{(b1-2)GlcNAc{(b1-4)Gal{(b1-3)GlcNAc{(b1-4)Gal{(a2-3)NeuAc}}}}}}}
G_40	{(b1-4)Man[{(a1-6)Man{(b1-2)GlcNAc{(b1-4)Gal{(a2-6)NeuAc}}}}]{(a1-3)Man{(b1-2)GlcNAc{(b1-4)Gal{(b1-3)GlcNAc{(b1-4)Gal{(a2-3)NeuAc}}}}}}}
G_41	{(b1-4)Man[{(a1-6)Man{(b1-2)GlcNAc{(b1-4)Gal{(a2-6)NeuAc}}}}]{(a1-3)Man{(b1-2)GlcNAc{(b1-4)Gal{(b1-3)GlcNAc{(b1-4)Gal}}}}}}
G_42	{(b1-4)Man[{(a1-6)Man{(b1-2)GlcNAc{(b1-4)Gal{(a2-6)NeuAc}}}}]{(a1-3)Man{(b1-2)GlcNAc{(b1-4)Gal{(b1-3)GlcNAc{(b1-4)Gal{(a2-6)NeuAc}}}}}}}
G_43	{(b1-4)Man[{(a1-6)Man{(b1-2)GlcNAc{(b1-4)Gal}}}]{(a1-3)Man{(b1-2)GlcNAc{(b1-4)Gal{(b1-3)GlcNAc{(b1-4)Gal{(a2-6)NeuAc}}}}}}}
G_44	{(b1-4)GlcNAc{(b1-4)Man[{(a1-6)Man[{(a1-6)Man{(a1-2)Man}}]{(a1-3)Man}}]{(a1-3)Man}}}
G_45	{(b1-4)GlcNAc{(b1-4)Man[{(a1-6)Man[{(a1-6)Man{(a1-2)Man}}]{(a1-3)Man}}]{(a1-3)Man{(a1-2)Man}}}}
G_46	{(b1-4)GlcNAc{(b1-4)Man[{(a1-6)Man[{(a1-6)Man{(a1-2)Man}}]{(a1-3)Man}}]{(a1-3)Man{(a1-2)Man{(a1-2)Man}}}}}
